Amir Brown	Elizabeth Garcia
Zion Jones	Mary Smith
Elijah Davis	Dorothy Smith
Jada Thomas	Linda Williams
Aaliyah Jackson	Charlie Davis
Malik Davis	Robert Smith
Jayden Brown	David Jones
Jordan Robinson	Dorothy Smith
Kyrie Johnson	Linda Davis
Kyrie Williams	Maria Brown
Aaliyah Johnson	William Martinez
Laila Robinson	Jennifer Garcia
Nevaeh Williams	William Williams
Nova Williams	William Johnson
Nova Davis	Charlie Brown
Legend Brown	Margaret Miller
Elijah Johnson	Elizabeth Miller
Laila Jones	Joseph Williams
Anthony Brown	Patricia Johnson
Legend Davis	Charlie Rodriguez
Elijah Williams	Michael Brown
Laila Davis	Jennifer Miller
Anthony Smith	Linda Garcia
Kyrie Davis	Richard Martinez
Zion Harris	Elizabeth Miller
Imani Williams	Michael Miller
Nevaeh Williams	Linda Brown
Zuri Jones	David Rodriguez
Zuri Davis	Robert Garcia
Caleb Williams	Dorothy Davis
Malik Williams	James Johnson
Elijah Jones	Elizabeth Jones
Nova Johnson	Michael Johnson
Serenity Johnson	David Jones
Legend Johnson	Patricia Garcia
Serenity Brown	Mary Jones
Jada Davis	Susan Rodriguez
Imani Johnson	Margaret Jones
Anthony Johnson	Barbara Brown
Legend Thomas	Joseph Rodriguez
Carter Thomas	Barbara Jones
Elijah Williams	Susan Rodriguez
Jada Jones	Elizabeth Martinez
Laila Thomas	Robert Garcia
Xavier Brown	Thomas Garcia
Amir Williams	Margaret Davis
Jordan Davis	Linda Brown
Legend Williams	Maria Williams
Serenity Williams	Patricia Rodriguez
London Johnson	John Martinez
Carter Brown	Michael Miller
Kyrie Thomas	Thomas Brown
Xavier Thomas	Elizabeth Davis
Imani Harris	Michael Rodriguez
Serenity Brown	Robert Brown
Malik Jones	Richard Garcia
Destiny Davis	Linda Garcia
Carter Harris	Margaret Smith
Nevaeh Smith	Joseph Williams
Laila Smith	William Martinez
Nevaeh Harris	John Brown
Nevaeh Williams	Linda Brown
Zuri Robinson	Linda Martinez
Laila Thomas	Joseph Smith
Carter Johnson	Jennifer Miller
Caleb Williams	Joseph Davis
Elijah Thomas	Margaret Jones
Elijah Thomas	Robert Williams
Malik Smith	Richard Brown
London Robinson	John Johnson
Nevaeh Jackson	James Garcia
Legend Robinson	Robert Smith
Serenity Smith	Elizabeth Rodriguez
Zion Jackson	Charlie Miller
Kyrie Johnson	Richard Brown
Elijah Harris	Elizabeth Johnson
Serenity Davis	John Brown
Laila Davis	Mary Garcia
Legend Harris	Robert Garcia
Caleb Williams	Thomas Rodriguez
Destiny Davis	Dorothy Williams
Zion Jackson	Linda Martinez
Jada Johnson	Richard Garcia
London Harris	Jennifer Williams
Imani Brown	James Martinez
Kyrie Johnson	Joseph Smith
Xavier Smith	Susan Brown
Carter Harris	Susan Martinez
